id,n_victimas,fecha,hora,tipo_de_calle,dirección normalizada,comuna,longitud,latitud,victima_1,acusado,dia_semana,rol,victima_2,sexo,edad
2020-0077,2,2020-12-25,6,avenida,san martin av. y punta arenas,15,-58.47220945,-34.60111373,moto,auto,viernes,pasajero_acompañante,moto,femenino,24
2020-0078,1,2020-12-25,5,calle,barco centenera del 1118,7,-58.43706741,-34.63217813,bicicleta,pasajeros,viernes,ciclista,bicicleta,masculino,26
2020-0079,1,2020-12-27,4,autopista,"paz, gral. av. y goyeneche, roberto parque av.",12,-58.49332664,-34.54836855,moto,objeto fijo,domingo,conductor,moto,masculino,28
2021-0001,1,2021-01-06,18,autopista,au frondizi km. 3,1,-58.37960727,-34.62622851,moto,auto,miércoles,conductor,moto,masculino,36
2021-0002,1,2021-01-07,10,avenida,"castro, emilio av. y murguiondo",9,-58.51061062,-34.64972472,moto,cargas,jueves,conductor,moto,femenino,47
2021-0003,1,2021-01-10,7,autopista,autopista 25 de mayo km. 3.7,7,-58.43052224,-34.62941648,moto,objeto fijo,domingo,conductor,moto,masculino,27
2021-0004,1,2021-01-11,9,avenida,caseros av. y guarani,5,-58.41455544,-34.63866836,peaton,cargas,lunes,peaton,peaton,femenino,61
2021-0005,1,2021-01-11,21,avenida,"peron, eva av. 3800",9,-58.46774439,-34.64730145,peaton,auto,lunes,peaton,peaton,masculino,73
2021-0006,1,2021-01-12,21,autopista,autopista arturo illia y sarmiento av.,14,-58.40786274,-34.56726817,moto,cargas,martes,pasajero_acompañante,moto,femenino,23
2021-0007,1,2021-01-18,10,avenida,de los constituyentes av. y giribone,15,-58.48744301,-34.58622275,moto,moto,lunes,conductor,moto,masculino,84
2021-0008,1,2021-01-22,23,avenida,"saenz av. y rabanal, francisco, intendente av.",4,-58.41657793,-34.65476216,peaton,pasajeros,viernes,peaton,peaton,masculino,28
2021-0009,1,2021-01-23,5,avenida,paysandu y gaona av.,6,-58.45351111,-34.61134937,moto,objeto fijo,sábado,conductor,moto,masculino,31
2021-0010,1,2021-01-23,8,autopista,"paz, gral. av. y balbin, ricardo, dr. av.",12,-58.5007381,-34.5497951,moto,auto,sábado,conductor,moto,masculino,28
2021-0011,1,2021-01-27,1,avenida,santa fe av. 1675,2,-58.39144148,-34.59564871,peaton,auto,miércoles,peaton,peaton,masculino,21
2021-0012,1,2021-01-29,20,autopista,"dellepiane, luis, tte. gral. y guamini",8,-58.48191128,-34.68385968,peaton,auto,viernes,peaton,peaton,masculino,0
2021-0013,1,2021-01-31,6,avenida,"falcon, ramon l.,cnel. y olivera av.",10,-58.48727942,-34.63652467,moto,objeto fijo,domingo,conductor,moto,masculino,41
2021-0014,1,2021-02-02,0,avenida,san martin av. y nogoya,15,-58.48328708,-34.59779521,peaton,auto,martes,peaton,peaton,masculino,28
2021-0015,1,2021-02-06,3,avenida,san martin av. y tinogasta,15,-58.49018543,-34.5972499,moto,objeto fijo,sábado,conductor,moto,masculino,26
2021-0016,1,2021-02-14,5,avenida,"fernandez de la cruz, f., gral. av. y de la torre, lisandro",8,-58.47230127,-34.68482689,auto,objeto fijo,domingo,conductor,auto,masculino,22
2021-0017,1,2021-02-17,4,avenida,salta y caseros av.,1,-58.38262614,-34.63168269,moto,pasajeros,miércoles,conductor,moto,masculino,33
2021-0018,1,2021-02-20,19,calle,"jaures, jean y peron, juan domingo, tte. general",3,-58.41047268,-34.60793518,peaton,auto,sábado,peaton,peaton,masculino,36
2021-0019,1,2021-02-21,1,avenida,"triunvirato av. y larralde, crisologo av.",12,-58.49659234,-34.56353635,moto,objeto fijo,domingo,conductor,moto,masculino,30
2021-0020,1,2021-02-21,15,calle,potosi y gascon,5,-58.42462955,-34.60727189,peaton,cargas,domingo,peaton,peaton,femenino,0
